judul,lokasi,keterangan,kategori,tanggal_awal,tanggal_akhir,klien,,,,
Perencanaan Konstruksi Tahun 2018,Area Kawasan Taman Nasional Alas Purwo,,Perencanaan Gedung,28/08/2017,11/10/2017,Kementrian Lingkungan Hidup dan Kehutanan Balai Taman Nasional Alas Purwo,,,,
Perencanaan Pembangunan Mushola,Area Kawasan Taman Nasional Alas Purwo,,Perencanaan Gedung,10/04/2017,9/5/2017,Kementrian Lingkungan Hidup dan Kehutanan Balai Taman Nasional Alas Purwo,,,,
"Perencanaan, 18. Pembangunan Gedung Bappeda",Kecamatan Banyuwangi,,Perencanaan Gedung,21/02/2017,10/4/2017,Dinas Pekerjaan Umum Cipta Karya dan Penataan Ruang Kabupaten Banyuwangi,,,,
DED Pelabuhan Perikanan Bawean,Kabupaten Gresik,,Perencanaan Gedung,16/10/2017,14/12/2017,Dinas Kelautan Dan Perikanan,,,,
Perencanaan Rehabilitasi Sedang/Berat Ruang Kelas SDN 7 Desa Kembiritan Kec. Genteng,Desa Kembiritan Kec. Genteng,,Perencanaan Gedung,23/03/2017,12/5/2017,Dinas Pendidikan Kab. Banyuwangi,,,,
Perencanaan Rehabilitasi Sedang/Berat Ruang Kelas SDN 6 Kaligondo Kec. Genteng,Kaligondo Kec. Genteng,,Perencanaan Gedung,23/03/2017,12/5/2017,Dinas Pendidikan Kab. Banyuwangi,,,,
Perencanaan Rehabilitasi Sedang/Berat Ruang Kelas SDN 6 Stail Kec. Genteng,Stail Kec. Genteng,,Perencanaan Gedung,23/03/2017,12/5/2017,Dinas Pendidikan Kab. Banyuwangi,,,,
Perencanaan Rehabilitasi Sedang/Berat Ruang Kelas SDN 4 Kalibarumanis Kec. Kalibaru,Kalibarumanis Kec. Kalibaru,,Perencanaan Gedung,23/03/2017,12/5/2017,Dinas Pendidikan Kab. Banyuwangi,,,,
Perencanaan Rehabilitasi Sedang/Berat Ruang Kelas SDN 7 Kajarharjo Kec. Kalibaru,Kajarharjo Kec. Kalibaru,,Perencanaan Gedung,23/03/2017,12/5/2017,Dinas Pendidikan Kab. Banyuwangi,,,,
"Jasa Konsultan Perencana (Pendataan Rumah tidak layak Huni Kec. Licin Desa Segobang, Kluncing dan Taman Sari)",Kecamatan Licin,,Perencanaan Gedung,20/04/2018,4/6/2018,Dinas Perumahan Dan Kawasan Permukiman Kabupaten Banyuwangi,,,,
Konsultansi Perencanaan Pembangunan  Gudang Garam Nasional,Kabupaten Lamongan,,Perencanaan Gedung,05/06/2018,4/7/2018,Dinas Perikanan Kabupaten Lamongan,,,,
Perencanaan Data Base Elektrikal Taman Sekabupaten Banyuwangi ,Kabupaten Banyuwangi,,Perencanaan Gedung,16/04/2018,7/6/2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang,,,,
Pemeliharaan Selasar RTH Blambangan ,Kecamatan Banyuwangi ,,Perencanaan Gedung,15/02/2018,12/4/2018,Dinas Pekerjaan Umum Cipta Karya dan Penataan Ruang Kabupaten Banyuwangi,,,,
Perencanaan Rehab Pustu Gunting - Sukorejo,Kabupaten Pasuruan ,,Perencanaan Gedung,28/05/2018,26/06/2018,Dinas Kesehatan Pemerintah Kabupaten Pasuruan ,,,,
Perencanaan Rehab Puskemas Karangrejo ,Kabupaten Pasuruan ,,Perencanaan Gedung,28/05/2018,26/06/2018,Dinas Kesehatan Pemerintah Kabupaten Pasuruan ,,,,
Perencanaan Rehab Pustu Sebandung - Sukorejo,Kabupaten Pasuruan ,,Perencanaan Gedung,28/05/2018,26/06/2018,Dinas Kesehatan Pemerintah Kabupaten Pasuruan ,,,,
Perencanaan Konstruksi Penataan Interior Visitor Center Stail,Area Kawasan Taman Nasional Alas Purwo,,Perencanaan Gedung,12/10/2018,21/10/2018,Kementrian Lingkungan Hidup dan Kehutanan Balai Taman Nasional Alas Purwo,,,,
Perencanaan Rehab MCK 50 m2,Kabupaten Gresik,,Perencanaan Gedung,14/02/2018,4/4/2018,Dinas Kelautan dan Perikanan Pemerintah Provinsi Jawa Timur,,,,
Perencanaan Pemeliharaan Gedung Puskesmas Purwosari ,Kabupaten Pasuruan,,Perencanaan Gedung,17/05/2018,15/06/2018,Dinas Kesehatan Pemerintah Kabupaten Pasuruhan,,,,
"Jasa Konsultan Perencana (Pendataan Rumah Tidak Layak Huni Kec. Licin, Desa Pakel, Banjar, Gumuk, Jelun dan Licin ",Kab. Banyuwangi ,,Perencanaan Gedung,27/05/2019,24/06/2019,Dinas Perumahan Dan Kawasan Permukiman Kabupaten Banyuwangi,,,,
Perencanaan 016. 16. Pembangunan Rumah Osing,Kecamatan Banyuwangi,,Perencanaan Gedung,11/03/2019,10/4/2019,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang,,,,
Perencanaan 006.17. Reabilitasi Gedung Kantor Dinas Tenaga Kerja dan Transmigrasi,Kecamatan Banyuwangi,,Perencanaan Gedung,22/03/2019,21/05/2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang,,,,
DED TPA Sidowangi Kecamatan Wongsorejjo,Kecamatan Wongsorejo,,Perencanaan Gedung,27/09/2019,9/12/2019,Dinas Lingkungan Hidup Kabupaten Banyuwangi,,,,
"Perencanaan Rehabilitasi Gedung SMKN. 1 Cerme, SMKN. 5 Surabaya, SMKN 2 Surabaya, SMKN. 12 Surabaya dan SMKN.6 Surabaya",Kota Surabaya,,Perencanaan Gedung,26/08/2019,14/10/2019,Dinas Pendidikan Provinsi Jawa Timur,,,,
"Database of Information Systems, Data Collection or Asset Inventory of CHING HWA INDONESIA",Kota Kalimantan Timur,,Perencanaan Gedung,13/11/2018,14/03/2019,PT. CHING HWA INDONESIA,,,,
Perencanaan Pembangunan Rumah Sakit Islam IBNU SINA MAGELANG,Kab. Magelang,,Perencanaan Gedung,11/02/2019,9/8/2019,Yayasan Rumah Sakit Islam Ibnu Sina Magelang,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
