judul,lokasi,keterangan,kategori,tanggal_awal,tanggal_akhir,klien
Penyusunan Database IMB Kecamatan Banyuwangi - Kelurahan Penganjuran,Kelurahan Penganjuran,,Konsultansi Perencanaan Non Konstruksi,18-08-2016,18-11-2016,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Penyusunan Database IMB Kecamatan Genteng - Desa Genteng Wetan ,Desa Genteng Kulon,,Konsultansi Perencanaan Non Konstruksi,18-08-2016,18-11-2016,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Penyusunan Database IMB Kecamatan Genteng - Desa Stail,Desa Stail,,Konsultansi Perencanaan Non Konstruksi,18-08-2016,18-11-2016,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Perencanaan Penyusunan Database Drainase Kecamatan Wongsorejo dan Kalipuro,Kecamatan Wongsorejo dan Kalipuro,,Konsultansi Perencanaan Non Konstruksi,18-08-2016,18-11-2016,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Perencanaan Penyusunan Databsase Drainase Kecamatan Banyuwangi dan Giri,Kecamatan Banyuwangi dan Giri,,Konsultansi Perencanaan Non Konstruksi,18-08-2016,18-11-2016,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Pemeliharaan Website,Kabupaten Banyuwangi,,Konsultansi Perencanaan Non Konstruksi,27-10-2016,27-11-2016,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
"Jasa Konsultan Perencana (Pendataan Rumah Tidak Layak Huni Kec. Licin Desa Segobang, Kluncing Dan Tamansari",Kabupaten Banyuwangi,,Konsultansi Perencanaan Non Konstruksi,20-04-2018,4-6-2018,Dinas Perumahan Dan Kawasan Permukiman
Updating Database Drainase Kabupaten Banyuwangi,Kabupaten Banyuwangi,,Konsultansi Perencanaan Non Konstruksi,22-10-2018,17-12-2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
Perencanaan Penyusunan Data Base Jaringan Elektrikal di Taman Sekabupaten Banyuwangi,Kabupaten Banyuwangi,,Konsultansi Perencanaan Non Konstruksi,16-04-2018,7-6-2018,Dinas Pekerjaan Umum Cipta Karya Dan Penataan Ruang
"Database of Information Systems,Data Collection or Asset Inventory of CHING HWA INDONESIA",Kalimantan Timur,,Konsultansi Perencanaan Non Konstruksi,13-11-2018,14-03-2019,PT. CHING HWAINDONESIA
"Identifikasi Dan Fasilitasi Perumahan Jasa Konsultan Perencanaan (Pendataan Rumah Tidak Layak Huni Kec. Licin Desa Pakel, Banjar, Gumuk, Jelun, Dan Licin)",Kabupaten Banyuwangi,,Konsultansi Perencanaan Non Konstruksi,27-05-2019,24-07-2019,Dinas Perumahan Dan Kawasan Permukiman